label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
2	-3 kg	1.3005 N	track & field	Computer Science	1444	64	Los Angeles	400 m^2	0.0964	325
0	83 kg	1.3873 N	baseball	ROBOTICS ENGINEERING	38	-433	Modesto, Sacramento, San Diego	-585 m^2	0.9382	-22
3	105 kg	1.0489 N	tennis	Statistics, Bioengineering, Applied Mathematics	568	1515	San Francisco	1002 m^2	-0.0724	1398
1	-393 kg	-0.3046 N	volleyball	Human Computer Interaction, Bioinformatics	301	-214	Moreno Valley, Bakersfield, Riverside, Stockton	1028 m^2	-1.4645	1326
1	828 kg	1.7913 N	volleyball	Human Computer Interaction	-80	1463	Riverside, Chula Vista, Stockton, Moreno Valley	-1381 m^2	-0.9529	1200
3	-411 kg	-0.0425 N	BADMINTON	Computer Game Design, Natural Language Processing	1303	-690	Santa Clarita	-503 m^2	-0.9538	2262
3	149 kg	0.6767 N	tennis	Statistics, Applied Mathematics, Bioengineering	2537	944	Anaheim	-145 m^2	-0.7901	1455
0	497 kg	1.728 N	golf	Robotics Engineering, Biotechnology	1592	-1683	Modesto, Oakland, Sacramento	None	1.4254	1174
2	76 kg	-0.2423 N	track & field	Technology and Information Management	454	1675	Los Angeles	979 m^2	0.4018	-560
1	102 kg	1.6825 N	volleyball	Human Computer Interaction, Bioinformatics	2074	870	Moreno Valley, Bakersfield, Stockton	-785 m^2	-0.5765	-48
3	431 kg	0.2218 N	boxing	Bioengineering	1587	-25	Santa Clarita, Santa Ana, Anaheim	2195 m^2	0.5241	1672
2	244 kg	0.6138 N	track & field	Technology and Information Management, Computer Science	2505	794	Los Angeles	-249 m^2	-0.2077	-287
0	706 kg	-0.0133 N	golf	Computer Engineering, Biotechnology	1338	-551	Fresno, Fremont	-480 m^2	1.5738	399
0	-14 kg	0.9066 N	baseball	Biotechnology, Robotics Engineering	812	1502	sacramento	702 m^2	0.8485	1167
3	495 kg	None	tennis	Natural Language Processing, Applied Mathematics, Statistics, Bioengineering	735	1789	Santa Clarita	1291 m^2	0.4193	-35
3	1260 kg	2.493 N	boxing	Natural Language Processing, Statistics, Applied Mathematics, Bioengineering	None	209	Anaheim	None	-0.6938	1232
0	434 kg	0.6059 N	basketball	Biotechnology, Computer Engineering	833	2798	Moreno Valley, Stockton, Riverside, Chula Vista	1797 m^2	0.7004	n/a
0	816 kg	1.6969 N	golf	Computer Engineering	1197	-971	Sacramento, Oakland	96 m^2	0.0259	-547
3	-352 kg	-0.5459 N	tennis	Statistics, Bioengineering, Natural Language Processing	-2102	1273	Irvine	-615 m^2	0.1085	1891
0	-51 kg	0.8505 N	golf	Robotics Engineering, Biotechnology	1466	403	SACRAMENTO, OAKLAND, SAN DIEGO	1138 m^2	1.5227	-28
2	134 kg	0.6087 N	track & field	Computer Science, Technology and Information Management	713	931	Fremont, Long Beach, Fresno	635 m^2	-0.6301	397
4	535 kg	-1.0919 N	ice hockey	Computational Media	-817	1954	Fremont	420 m^2	0.1659	936
0	660 kg	0.6199 N	baseball	Biotechnology, Computer Engineering	1604	-277	San Diego	537 m^2	1.1358	381
2	313 kg	0.2549 N	motor sports	Computer Science, Data Science	901	-236	Modesto, San Diego	770 m^2	0.5607	-679
4	459 kg	0.7368 N	ice hockey	Electrical Engineering	342	-1122	Long Beach, Fremont, San Bernardino	-953 m^2	0.2762	1212
1	122 kg	0.4522 N	football	Games and Playable Media, Human Computer Interaction	-1207	2341	Stockton, Riverside, Moreno Valley, Chula Vista	1656 m^2	-0.6663	992
2	178 kg	-0.0694 N	track & field	Computer Science	2407	-86	Irvine	-504 m^2	0.5651	809
0	804 kg	1.5663 N	golf	Biotechnology	1168	326	San Diego	1824 m^2	1.7512	1061
0	951 kg	0.1596 N	basketball	Computer Engineering, Biotechnology	-338	-1017	Oakland, Modesto	1979 m^2	1.0497	-542
0	1014 kg	0.2163 N	golf	Biotechnology	1596	-86	Sacramento	518 m^2	-0.382	28
2	994 kg	1.1201 N	track & field	Technology and Information Management	616	221	Los Angeles	-90 m^2	0.6321	295
2	2345 kg	0.5613 N	track & field	Technology and Information Management, Computer Science	295	965	Stockton	301 m^2	0.5542	-374
3	1414 kg	0.6325 N	boxing	Computer Game Design, Applied Mathematics, Bioengineering	935	1420	Santa Clarita, San Jose	1895 m^2	-0.4947	583
0	1006 kg	-0.0712 N	running	Robotics Engineering	1730	1352	Sacramento	2397 m^2	1.5873	239
4	1495 kg	-0.3106 N	motor sports	Electrical Engineering	335	331	Long Beach, San Francisco, Fremont	-354 m^2	1.0604	-316
0	678 kg	0.6492 N	basketball	Biotechnology	-282	1194	Oakland	3159 m^2	1.4306	703
3	923 kg	-0.4198 N	tennis	Statistics, Natural Language Processing	-428	966	Anaheim	-913 m^2	0.6955	64
3	-65 kg	-0.9543 N	tennis	Computer Engineering, Robotics Engineering	-339	140	Santa Clarita, San Jose, Anaheim	1919 m^2	0.3849	1010
1	620 kg	-1.1607 N	volleyball	Human Computer Interaction, Bioinformatics	-88	1499	MORENO VALLEY, CHULA VISTA, BAKERSFIELD, STOCKTON	1565 m^2	-0.1725	611
2	2029 kg	1.5424 N	track & field	Computer Science, Technology and Information Management	845	-586	Los Angeles	1461 m^2	-1.5238	-213
2	514 kg	0.2127 N	track & field	Data Science, Technology and Information Management	1003	1776	Irvine	458 m^2	-0.1838	1136
1	68 kg	0.5091 N	volleyball	Bioinformatics	-316	509	Bakersfield, Chula Vista, Moreno Valley, Riverside	1560 m^2	0.3157	1083
4	550 kg	0.6128 N	soccer	Electrical Engineering	413	1382	Long Beach, San Bernardino	1225 m^2	-0.2744	98
0	-384 kg	0.6426 N	golf	rOBOTICS eNGINEERING	2324	465	San Diego, Oakland	1138 m^2	0.9508	n/a
4	1424 kg	0.5923 N	ice hockey	Electrical Engineering	2230	-456	Fremont, San Bernardino	-243 m^2	0.4927	752
4	1486 kg	1.4944 N	N/A	Electrical Engineering	884	993	Fremont	930 m^2	1.2331	-507
4	1691 kg	-0.0848 N	ice hockey	Computational Media	-620	1900	San Bernardino, Fremont, Long Beach, San Francisco	877 m^2	1.0883	1088
4	322 kg	-0.5536 N	motor sports	Electrical Engineering	1704	-362	San Francisco, Fremont, Fresno, Long Beach	-496 m^2	0.3525	252
0	1421 kg	-0.3736 N	basketball	Natural Language Processing	1399	1799	Oakland	-339 m^2	0.4898	-887
0	756 kg	0.7227 N	BASKETBALL	Computer Engineering	-1518	2959	San Diego, Modesto, Sacramento	-295 m^2	n/a	-175
0	1447 kg	-0.2551 N	track & field	Computer Engineering, Robotics Engineering	420	2289	Sacramento, Oakland	1486 m^2	1.4724	1824
3	-10 kg	1.3251 N	tennis	Statistics, Computer Game Design, Natural Language Processing	766	1917	Santa Clarita, San Jose, Anaheim	96 m^2	-0.3492	911
1	1634 kg	-0.2 N	football	Games and Playable Media, Human Computer Interaction	-1025	1061	Bakersfield	2295 m^2	-0.1589	219
1	80 kg	1.3535 N	football	Games and Playable Media	793	923	Bakersfield, Stockton, Riverside	1132 m^2	0.2546	721
3	697 kg	0.6856 N	boxing	Statistics	-588	787	San Jose, Anaheim	-745 m^2	0.2805	1812
0	186 kg	1.0811 N	basketball	Biotechnology, Robotics Engineering	62	2269	Modesto	500 m^2	0.8136	781
2	432 kg	1.0738 N	track & field	Technology and Information Management	1684	-1087	Irvine	60 m^2	-1.1794	-140
4	1624 kg	0.6862 N	running	Computational Media	2735	-45	Long Beach, San Francisco	1734 m^2	0.9155	1490
0	436 kg	1.1747 N	golf	Computer Engineering	2260	486	San Diego, Modesto, Sacramento	941 m^2	-0.4215	-999
3	-183 kg	0.1416 N	tennis	Statistics, Computer Game Design, Applied Mathematics, Bioengineering	2601	2257	San Jose	1058 m^2	-0.2839	642
4	1510 kg	0.2232 N	soccer	Computational Media	1797	-141	Sacramento	1481 m^2	2.1624	-888
4	389 kg	0.5535 N	soccer	Human Computer Interaction, Bioinformatics	1748	1203	Fremont, Fresno, San Francisco, San Bernardino	1862 m^2	1.3434	1365
1	1480 kg	1.3962 N	Football	Bioinformatics	857	186	Chula Vista	1244 m^2	0.2733	-673
4	1426 kg	1.2877 N	motor sports	Games and Playable Media	2199	725	San Francisco, San Bernardino, Long Beach, Fremont	884 m^2	0.8432	-312
0	623 kg	0.4592 N	golf	ROBOTICS ENGINEERING, COMPUTER ENGINEERING	1127	-163	Modesto, Sacramento	-104 m^2	1.3742	-834
4	726 kg	1.1165 N	running	Computational Media	2651	2050	Fresno, San Bernardino, Long Beach	-714 m^2	-0.0499	-678
1	2246 kg	0.963 N	volleyball	Bioinformatics, Human Computer Interaction	123	1858	Moreno Valley, Bakersfield, Riverside, Stockton	1636 m^2	0.0662	1157
0	1243 kg	0.5665 N	baseball	Biotechnology	943	897	Oakland, Modesto, Sacramento	-1254 m^2	0.4203	588
4	-235 kg	0.3841 N	ice hockey	Computational Media	-84	2481	Irvine	776 m^2	2.2903	1045
2	994 kg	1.1974 N	track & field	Technology and Information Management	1747	609	Los Angeles	45 m^2	0.0517	995
0	241 kg	0.8339 N	golf	Biotechnology	-877	1746	Sacramento, San Diego, Modesto	200 m^2	-0.7353	-16
1	760 kg	1.0316 N	football	Human Computer Interaction	-492	-619	Bakersfield, Moreno Valley, Stockton, Chula Vista	1145 m^2	-1.176	676
3	358 kg	-0.046 N	tennis	Computer Game Design, Statistics, Applied Mathematics, Natural Language Processing	3032	-707	Anaheim, San Jose, Santa Clarita	414 m^2	-0.0887	754
1	942 kg	0.5897 N	football	Games and Playable Media, Bioinformatics	-1129	391	Bakersfield, Riverside, Moreno Valley, Chula Vista	968 m^2	0.0978	2265
1	1725 kg	0.5516 N	football	Games and Playable Media	-1061	1478	Moreno Valley	875 m^2	-0.1909	-375
3	-1044 kg	0.8527 N	tennis	Bioengineering	-409	1635	sANTA aNA, aNAHEIM, sAN jOSE	624 m^2	1.6785	N/A
0	583 kg	1.5002 N	golf	Biotechnology, Computer Engineering	905	1372	Sacramento	732 m^2	1.4925	1673
4	703 kg	-0.5288 N	ice hockey	cOMPUTATIONAL mEDIA	1821	-870	Fremont, Fresno	-1100 m^2	0.6878	246
4	2791 kg	-0.1248 N	soccer	Computational Media	589	922	Fresno	943 m^2	1.2332	404
2	718 kg	0.9351 N	tennis	Computer Science, Technology and Information Management	982	N/A	Los Angeles	-258 m^2	0.2547	42
1	1299 kg	1.8079 N	football	Bioinformatics	482	738	Chula Vista, Stockton, Riverside, Moreno Valley	1361 m^2	-0.545	653
3	86 kg	1.1677 N	badminton	Natural Language Processing, Applied Mathematics	111	-6	Santa Clarita, San Jose, Anaheim	2041 m^2	-0.2306	-704
4	2070 kg	0.3135 N	ice hockey	Computational Media	1360	724	Irvine	1496 m^2	0.1263	1003
2	3181 kg	0.7147 N	track & field	Data Science	1813	-184	San Bernardino, San Francisco, Fresno, Long Beach	-492 m^2	-0.1327	2517
0	746 kg	0.4419 N	basketball	Biotechnology	2172	2427	Oakland, San Diego, Sacramento	1003 m^2	1.9842	None
2	1587 kg	0.7645 N	track & field	Computer Science	1130	-261	Irvine	1680 m^2	0.2882	457
3	646 kg	-0.7663 N	tennis	Natural Language Processing, Applied Mathematics	1281	-141	Santa Ana, Santa Clarita	2332 m^2	0.8213	108
2	1029 kg	-0.0885 N	track & field	Data Science, Technology and Information Management	1179	154	Los Angeles	315 m^2	0.0478	1737
0	1147 kg	1.7507 N	basketball	Data Science, Technology and Information Management	2058	706	Sacramento, Oakland	583 m^2	1.397	1322
2	904 kg	-0.0794 N	track & field	Data Science, Technology And Information Management	111	-201	Irvine	94 m^2	0.6968	-201
4	1438 kg	-0.0659 N	running	Computational Media	568	12	Fresno, San Francisco, San Bernardino, Fremont	-430 m^2	0.6105	293
4	1143 kg	-0.2717 N	ice hockey	Computational Media	-917	-22	San Bernardino	1401 m^2	-0.024	2524
0	520 kg	-0.0237 N	golf	Robotics Engineering	-572	1070	San Diego	1454 m^2	1.3196	5
0	-83 kg	0.9708 N	Golf	Computer Engineering, Robotics Engineering	393	2852	Long Beach	698 m^2	0.5803	-977
3	-241 kg	0.7902 N	boxing	Statistics, Natural Language Processing, Bioengineering, Computer Game Design	17	1791	Santa Clarita	-7 m^2	0.0252	815
1	555 kg	2.8973 N	volleyball	Human Computer Interaction, Games and Playable Media	1267	115	?	-1780 m^2	-0.1023	155
1	2850 kg	1.3526 N	volleyball	Games and Playable Media	66	1498	Stockton, Riverside	1531 m^2	0.9114	1281
4	-1003 kg	0.9316 N	soccer	Electrical Engineering	580	316	Long Beach, Fremont	457 m^2	0.1237	56
1	1141 kg	0.6517 N	volleyball	Human Computer Interaction, Bioinformatics	1176	1014	Chula Vista, Moreno Valley, Stockton, Riverside	51 m^2	-0.2702	327
2	627 kg	1.1179 N	track & field	Computer Science, Technology and Information Management	492	744	Irvine	1261 m^2	-0.2216	243
4	403 kg	-0.9425 N	soccer	Computational Media	1122	-502	San Francisco, Fremont, Fresno	1291 m^2	0.6334	-169
2	-313 kg	-0.4763 N	track & field	Computer Science, Data Science	946	702	Los Angeles	n/a	-0.4178	1804
4	-404 kg	-0.3395 N	ice hockey	Electrical Engineering	1324	1033	San Francisco, San Bernardino, Long Beach, Fremont	724 m^2	0.7822	-679
3	500 kg	-1.8686 N	badminton	Statistics, Natural Language Processing, Applied Mathematics	969	2494	Santa Clarita, Santa Ana, Anaheim	815 m^2	-0.0491	513
4	1477 kg	0.7522 N	running	Computational Media	?	130	Fresno, Long Beach, San Francisco, San Bernardino	930 m^2	0.8789	-1188
3	27 kg	-0.1343 N	Tennis	Bioengineering, Computer Game Design, Statistics, Applied Mathematics	2911	14	Santa Clarita, San Jose, Anaheim	1463 m^2	-0.1443	696
0	-252 kg	1.5395 N	golf	Biotechnology	1514	2988	San Diego	2680 m^2	0.7449	2765
0	2388 kg	0.8335 N	basketball	Biotechnology	1069	-12	Modesto, Sacramento	2664 m^2	-0.2791	3052
2	372 kg	-2.4017 N	ice hockey	Technology and Information Management	1173	2044	Los Angeles	1512 m^2	-1.4921	1139
3	-53 kg	-0.056 N	tennis	Statistics, Computer Game Design, Bioengineering, Applied Mathematics	1415	1520	Los Angeles	-819 m^2	0.3404	1363
3	465 kg	0.7934 N	tennis	Natural Language Processing	1318	-890	Anaheim	1257 m^2	-1.6383	1332
4	-81 kg	0.2118 N	soccer	Electrical Engineering	-1409	1623	Long Beach, Fresno	660 m^2	-0.9573	195
3	193 kg	0.132 N	boxing	Natural Language Processing, Computer Game Design	352	-861	San Jose, Anaheim, Santa Ana	655 m^2	0.0813	NULL
2	555 kg	-0.0117 N	track & field	Technology and Information Management	58	-716	Santa Ana, San Jose, Anaheim	1597 m^2	-1.2385	-572
2	380 kg	1.5922 N	track & field	Data Science, Technology and Information Management	607	538	Los Angeles	79 m^2	0.5079	1121
3	1332 kg	0.255 N	tennis	Statistics, Applied Mathematics, Computer Game Design, Natural Language Processing	2485	754	Santa Clarita	1520 m^2	-0.7991	1088
4	328 kg	0.8915 N	motor sports	Computational Media	1252	-918	sAN bERNARDINO	-1701 m^2	0.3141	1130
1	402 kg	0.7241 N	volleyball	Bioinformatics	-1291	1408	Chula Vista, Bakersfield	1769 m^2	-1.7649	188
2	312 kg	1.062 N	track & field	Computer Science, Data Science	489	459	Irvine	1052 m^2	0.3736	817
4	-199 kg	-0.0617 N	ice hockey	computational media	105	1235	Long Beach, San Bernardino, Fresno, San Francisco	1164 m^2	0.6015	1893
1	897 kg	0.1533 N	football	Bioinformatics, Human Computer Interaction	-845	-563	Stockton	947 m^2	0.9624	607
4	331 kg	-1.4131 N	ice hockey	Computational Media	225	-97	Fremont, Fresno, Long Beach	949 m^2	-1.0045	1868
2	1663 kg	0.2596 N	baseball	Data Science, Computer Science	-17	34	Irvine	894 m^2	0.1634	-427
1	962 kg	0.4524 N	volleyball	Human Computer Interaction	772	1415	Irvine	1318 m^2	-0.1241	1610
2	1276 kg	1.4718 N	track & field	Computer Science, Data Science	2114	746	Fremont	234 m^2	0.7579	668
3	1652 kg	0.353 N	boxing	Bioengineering	756	1723	Santa Clarita, San Jose, Anaheim	80 m^2	0.6006	435
1	1142 kg	0.3939 N	track & field	Bioinformatics, Human Computer Interaction	-211	-177	Riverside, Bakersfield	855 m^2	1.0518	-671
4	1413 kg	0.2485 N	soccer	Electrical Engineering	1863	-586	San Bernardino, Long Beach, Fremont, Fresno	-1016 m^2	1.0514	-1522
4	24 kg	-0.2342 N	motor sports	Electrical Engineering	630	450	San Francisco, Fresno, Long Beach	542 m^2	0.3799	1372
0	1417 kg	1.7899 N	golf	Biotechnology, Robotics Engineering	806	733	Sacramento	1188 m^2	1.0661	561
1	960 kg	NULL	football	Games and Playable Media	-511	2067	Moreno Valley, Bakersfield, Stockton, Chula Vista	-119 m^2	-0.7862	532
1	2006 kg	1.5383 N	track & field	Bioinformatics, Games and Playable Media	-1780	620	Riverside, Moreno Valley	2722 m^2	-0.9073	1104
3	-1162 kg	-0.1866 N	boxing	Statistics, Bioengineering, Computer Game Design, Natural Language Processing	1529	942	Santa Ana, Santa Clarita, San Jose	N/A	0.2338	591
1	1609 kg	2.2173 N	volleyball	Human Computer Interaction	413	2032	Bakersfield	-97 m^2	0.4772	264
4	143 kg	0.8343 N	motor sports	Electrical Engineering	176	992	Fresno, Long Beach, San Bernardino	338 m^2	0.5469	64
3	-882 kg	1.1566 N	boxing	Applied Mathematics	252	1441	Santa Clarita	1792 m^2	-0.3248	1370
2	-59 kg	1.0866 N	track & field	Technology and Information Management	947	1271	NULL	489 m^2	-0.5755	1788
0	60 kg	1.0143 N	golf	Biotechnology, Computer Engineering	2100	-59	Oakland	265 m^2	1.2965	1591
1	1152 kg	1.4282 N	tennis	Human Computer Interaction, Games and Playable Media		190	Riverside, Bakersfield, Moreno Valley	1909 m^2	0.4444	1529
1	1101 kg	0.8584 N	volleyball	Human Computer Interaction	-152	140	Riverside, Chula Vista	-566 m^2	-0.1069	1437
1	1068 kg	2.2256 N	football	Games and Playable Media	330	1988	Chula Vista	1798 m^2	0.8166	-292
4	796 kg	0.4423 N	running	Electrical Engineering	1309	-128	Long Beach, Fremont, San Bernardino	160 m^2	-0.2816	1258
4	2490 kg	1.3104 N	soccer	Bioinformatics	1560	1124	Fremont, Long Beach	807 m^2	1.7264	370
4	295 kg	-0.6062 N	motor sports	Computational Media	-153	1010	Fresno	1289 m^2	0.4273	575
1	878 kg	0.9586 N	football	Bioinformatics	-1121	-92	Moreno Valley	-625 m^2	0.873	1635
1	1031 kg	1.741 N	football	Games and Playable Media, Human Computer Interaction	255	574	fREMONT, sAN fRANCISCO, lONG bEACH	841 m^2	-0.091	1355
1	480 kg	1.2223 N	volleyball	Games and Playable Media	-166	943	Stockton, Bakersfield	1700 m^2	-0.8364	1104
0	1367 kg	2.1481 N	basketball	Biotechnology	1210	1	Oakland	239 m^2	0.8241	-156
0	382 kg	1.988 N	basketball	Data Science, Technology and Information Management	44	-915	Oakland, Sacramento, Modesto	2093 m^2	0.7172	1069
0	-241 kg	0.5911 N	golf	Computer Engineering, Robotics Engineering	1501	1608	Sacramento	2662 m^2	0.9404	392
3	263 kg	1.3562 N	boxing	Applied Mathematics, Statistics, Bioengineering	1610	308	SANTA CLARITA	675 m^2	-1.5281	-160
0	2141 kg	0.9914 N	basketball	Computer Engineering, Robotics Engineering	-32	-237	Sacramento, San Diego	403 m^2	1.7808	109
4	422 kg	1.0215 N	running	Computational Media	-1425	147	fRESNO, fREMONT	630 m^2	0.0894	-776
3	1187 kg	0.2118 N	tennis	Natural Language Processing, Applied Mathematics, Bioengineering, Statistics	1645	866	Anaheim, Santa Ana	1641 m^2	-0.6629	436
3	-56 kg	1.1686 N	boxing	Applied Mathematics, Natural Language Processing, Computer Game Design, Bioengineering	-1135	2356	Santa Clarita, Anaheim, San Jose	1009 m^2	-0.129	1852
2	103 kg	-0.1725 N	track & field	Data Science	-218	932	Irvine	569 m^2	-0.8964	1370
4	-221 kg	0.2971 N	running	Electrical Engineering	1528	1264	Fremont, San Bernardino	384 m^2	0.933	565
2	1168 kg	0.7139 N	track & field	dATA sCIENCE	582	992	Anaheim, Santa Ana	52 m^2	-1.9397	3399
4	326 kg	0.5201 N	motor sports	Electrical Engineering	2177	978	Oakland, Sacramento	1940 m^2	0.4291	1344
3	962 kg	-0.7076 N	tennis	Bioengineering, Natural Language Processing	964	2044	Fremont	724 m^2	-0.7576	1305
3	-176 kg	0.8614 N	tennis	Natural Language Processing, Bioengineering, Computer Game Design, Applied Mathematics	475	1360	Santa Ana, Anaheim, Santa Clarita	1546 m^2	-0.4789	3310
1	129 kg	1.3306 N	volleyball	Human Computer Interaction	-638	1996	Moreno Valley	403 m^2	0.6944	1685
4	322 kg	-1.5212 N	running	Electrical Engineering	1367	-507	Chula Vista, Bakersfield, Moreno Valley	-529 m^2	-0.2568	259
4	826 kg	0.352 N	golf	Electrical Engineering	2387	-682	Chula Vista, Moreno Valley, Bakersfield, Stockton	1587 m^2	0.7353	769
1	922 kg	0.6299 N	football	Human Computer Interaction	-1662	835	Chula Vista	1111 m^2	-0.7599	1652
0	619 kg	0.7969 N	baseball	Robotics Engineering	-1552	1933	Modesto, Sacramento, San Diego	-462 m^2	1.609	128
3	478 kg	0.2862 N	badminton	Statistics, Natural Language Processing	349	2258	Santa Ana, Anaheim	4 m^2	-0.6732	1384
0	1640 kg	0.3875 N	golf	Robotics Engineering	639	3189	Modesto	1417 m^2	-0.8648	373
3	-72 kg	0.5117 N	boxing	Biotechnology, Robotics Engineering	1099	672	Anaheim, San Jose	1141 m^2	0.4161	1245
1	1091 kg	1.4499 N	volleyball	Human Computer Interaction, Bioinformatics	637	-554	Chula Vista, Moreno Valley, Riverside, Stockton	-1497 m^2	0.6748	2449
4	-164 kg	0.6668 N	ice hockey	Bioinformatics	493	84	Fresno, Long Beach	1126 m^2	0.8952	-1104
1	1250 kg	2.1686 N	volleyball	Bioinformatics, Human Computer Interaction	1990	840	Riverside, Bakersfield, Stockton, Moreno Valley	-153 m^2	-0.5548	653
4	963 kg	0.5314 N	soccer	Computational Media	641	551	Fremont	2075 m^2	1.0713	571
3	1295 kg	0.7531 N	badminton	Natural Language Processing, Computer Game Design	2224	439	Santa Ana, San Jose, Anaheim	-707 m^2	-0.5134	1785
4	493 kg	0.8739 N	motor sports	Electrical Engineering	-242	-615	Long Beach, San Bernardino	-1651 m^2	0.5519	-217
0	230 kg	1.9085 N	basketball	Computer Engineering	368	1049	Oakland	1271 m^2	-1.0044	1329
2	-100 kg	0.8921 N	track & field	Technology and Information Management	2576	1859	Los Angeles	-437 m^2	-0.3295	161
3	43 kg	-0.122 N	boxing	Statistics, Computer Game Design, Applied Mathematics, Natural Language Processing	589	152	San Jose	97 m^2	-0.1407	258
2	821 kg	0.8974 N	track & field	Computer Science	1080	571	iRVINE	509 m^2	1.1612	791
2	-102 kg	-0.703 N	track & field	Data Science	-101	1520	Fremont	169 m^2	-0.8151	1517
3	-895 kg	1.5667 N	tennis	Natural Language Processing, Bioengineering, Computer Game Design, Statistics	1137	3096	San Jose, Santa Ana	1962 m^2	0.6864	878
4	-28 kg	0.6201 N	ice hockey	Technology and Information Management, Computer Science	424	-462	Oakland, San Diego	624 m^2	1.7964	-737
0	-614 kg	-0.7173 N	basketball	Computer Engineering	1453	1963	Oakland	1510 m^2	1.1365	781
0	1332 kg	0.8679 N	baseball	Biotechnology, Robotics Engineering	1504	582	Sacramento, San Diego	407 m^2	1.9515	-811
4	1515 kg	1.3802 N	motor sports	Computational Media	1415	-658	Long Beach	1646 m^2	0.0461	-144
3	1933 kg	-0.7903 N	badminton	Computer Game Design, Applied Mathematics, Bioengineering, Statistics	237	554	Anaheim	182 m^2	0.2399	606
2	-676 kg	0.2648 N	tennis	Computer Science, Data Science	405	-210	Los Angeles	-88 m^2	1.2875	1689
2	-99 kg	0.831 N	track & field	Data Science	1937	518	Irvine	-338 m^2	0.0104	1099
1	2228 kg	1.037 N	football	Bioinformatics, Games and Playable Media	84	1344	Stockton, Bakersfield, Riverside	687 m^2	0.2014	662
4	-419 kg	0.8122 N	soccer	Computational Media	402	-381	San Francisco, Fresno, San Bernardino, Fremont	-72 m^2	-0.2645	790
4	656 kg	-0.4589 N	soccer	Computational Media	834	756	Fresno, San Francisco, Long Beach	-899 m^2	1.5817	-748
4	2295 kg	-1.0511 N	soccer	Electrical Engineering	1628	-1487	Modesto	-147 m^2	1.3783	443
3	305 kg	n/a	motor sports	Computer Game Design	212	-766	Los Angeles	-11 m^2	0.6337	306
0	1675 kg	1.9413 N	basketball	Statistics	569	1730	Sacramento, San Diego, Oakland	131 m^2	1.3164	388
0	661 kg	1.5035 N	soccer	Robotics Engineering	799	2416	Oakland	-999 m^2	1.0703	-172
4	-374 kg	0.4688 N	baseball	Computational Media	2304	1013	San Francisco, Fresno, Long Beach	967 m^2	-0.3813	-363
2	2097 kg	-0.6941 N	track & field	Technology and Information Management, Computer Science	2514	1182	Irvine	NULL	-0.3979	636
3	481 kg	N/A	boxing	Applied Mathematics	1028	1216	Modesto	793 m^2	1.3462	-353
1	165 kg	0.9541 N	volleyball	Bioinformatics	-2029	783	San Francisco, Long Beach, San Bernardino, Fremont	1995 m^2	1.017	522
0	601 kg	-0.0735 N	basketball	Data Science, Computer Science	226	440	Bakersfield, Stockton, Moreno Valley	1640 m^2	0.5113	439
4	1194 kg	0.178 N	motor sports	Electrical Engineering	274	-1899	Long Beach, San Francisco, Fresno	650 m^2	1.5473	363
2	1596 kg	-0.1199 N	track & field	COMPUTER SCIENCE	1738	-695	Irvine	15 m^2	-0.9589	1299
2	-304 kg	0.2172 N	track & field	Data Science	818	753	Los Angeles	-1248 m^2	-0.1016	-1588
1	-392 kg	1.4228 N	ice hockey	Bioinformatics	703	2059	Stockton, Riverside, Bakersfield	1215 m^2	-0.8164	-1270
1	792 kg	-0.2091 N	volleyball	Games and Playable Media, Bioinformatics	161	1152	Bakersfield, Riverside	550 m^2	-1.1283	-2483
1	2415 kg	0.3148 N	football	Bioinformatics, Games and Playable Media	-276	-32	Moreno Valley, Stockton, Riverside	-33 m^2	1.2979	1502
0	774 kg	1.6934 N	track & field	Computer Engineering, Robotics Engineering	873	458	San Diego	1370 m^2	0.784	480
0	1322 kg	0.0192 N	golf	Computer Engineering, Biotechnology	2659	1280	Sacramento, San Diego	1676 m^2	0.563	-1343
4	-334 kg	0.3136 N	motor sports	Electrical Engineering	990	1457	Long Beach	183 m^2	0.7663	1194
1	294 kg	1.2099 N	football	Human Computer Interaction	-664	1703	Stockton, Moreno Valley	1288 m^2	-1.6489	1269
4	-753 kg	0.2927 N	motor sports	Computational Media	1104	1177	Los Angeles	None	1.1355	138
1	1970 kg	0.2233 N	football	Bioinformatics	703	1265	Stockton, Moreno Valley, Bakersfield, Riverside	2488 m^2	0.4307	406
1	1085 kg	1.6826 N	football	Bioinformatics	158	1825	Stockton	1193 m^2	0.2609	169
4	-180 kg	0.6818 N	running	Computational Media	857	728	Fresno, Long Beach, San Bernardino, Fremont	506 m^2	0.4412	-102
1	1406 kg	1.687 N	volleyball	Games and Playable Media	-1434	1081	Bakersfield, Riverside, Moreno Valley	-789 m^2	-0.1331	1414
1	895 kg	2.3423 N	football	Human Computer Interaction	415	1164	Stockton, Riverside, Moreno Valley	483 m^2	-0.0171	2572
2	1635 kg	-0.9706 N	track & field	Technology and Information Management	971	-642	Los Angeles	776 m^2	-0.1659	69
0	1086 kg	1.2504 N	golf	Biotechnology, Computer Engineering	756	1137	San Diego, Sacramento	1708 m^2	-0.1195	492
0	193 kg	0.7865 N	basketball	Biotechnology, Computer Engineering	116	2229	San Diego, Modesto	1940 m^2	-0.1891	2335
2	1282 kg	-1.373 N	track & field	Data Science	-492	529	Los Angeles	-129 m^2	0.8714	236
